cpf;full_name;date_birth;email;phone;net_salary
566.050.380-29;Renata Sophia Luiza Costa;17/12/1990;renatasophialuizacosta__renatasophialuizacosta@gmeil.com;(84) 99294-4912;2000
675.210.282-10;Elias Victor dos Santos;07/04/1987;eliasvictordossantos-84@id.uff.br;(67) 99700-7613;3000
734.814.586-81;Marina Daiane da Cunha;19/07/1974;marinadaianedacunha-97@fibria.com.br;(61) 99386-9732;5000
573.716.150-18;Thiago Enzo Caio Araujo;04/12/1954;thiagoenzocaioaraujo-90@zulix.com.br;(11) 99347-2031;6000
604.072.240-17;Francisca Luciana Nicole Aparicio;02/08/1978;franciscaluciananicoleaparicio..franciscaluciananicoleaparicio@officetectecnologia.com.br;(21) 99621-9141;8000
594.763.410-41;Evelyn Rayssa Rafaela Baptista;17/12/1970;evelynrayssarafaelabaptista_@zian.com.br;(61) 99266-6516;4000
364.267.250-72;Ester Sebastiana Nascimento;27/09/1997;estersebastiananascimento_@veloxmail.com.br;(65) 99886-9937;3000
949.100.450-66;Thales Henry Almeida;23/10/1945;thaleshenryalmeida..thaleshenryalmeida@brasildakar.com.br;(79) 99860-7666;7000
370.654.480-61;Joao Jorge Porto;10/02/1958;joaojorgeporto-96@novotempo.com;(96) 99145-6340;5000
284.429.850-85;Andrea Jessica Novaes;19/12/1988;andreajessicanovaes__andreajessicanovaes@dep.ufscar.br;(65) 98672-8140;3000
